,Time,Object id,Class_type,Class-likelihood,X,Y
758,2023-04-09T22:29:00.991000,296,Person,0.23000000417232513,604,111
759,2023-04-09T22:29:01.331000,296,Person,0.23999999463558197,605,111
760,2023-04-09T22:29:01.661000,296,Person,0.23999999463558197,605,111
761,2023-04-09T22:29:01.991000,296,Person,0.23999999463558197,605,111
762,2023-04-09T22:29:02.331000,296,Person,0.15000000596046448,605,111
763,2023-04-09T22:29:02.661000,296,Person,0.15000000596046448,605,111
764,2023-04-09T22:29:02.991000,296,Person,0.15000000596046448,605,111
765,2023-04-09T22:29:03.991000,297,Person,0.25,605,112
766,2023-04-09T22:29:04.331000,297,Person,0.25,605,112
767,2023-04-09T22:29:04.661000,297,Person,0.25,605,112
768,2023-04-09T22:29:05.662000,298,Person,0.1599999964237213,604,112
769,2023-04-09T22:29:05.992000,298,Person,0.1599999964237213,604,112
770,2023-04-09T22:29:06.332000,298,Person,0.1599999964237213,604,112
771,2023-04-09T22:29:08.992000,299,Person,0.18000000715255737,605,111
772,2023-04-09T22:29:09.332000,299,Person,0.18000000715255737,605,111
773,2023-04-09T22:29:09.662000,299,Person,0.25,605,111
774,2023-04-09T22:29:09.992000,299,Person,0.17000000178813934,604,112
775,2023-04-09T22:29:10.332000,299,Person,0.17000000178813934,604,112
776,2023-04-09T22:29:10.662000,299,Person,0.17000000178813934,604,112
777,2023-04-09T22:29:11.662000,300,Person,0.18000000715255737,604,111
778,2023-04-09T22:29:11.992000,300,Person,0.18000000715255737,604,111
779,2023-04-09T22:29:12.332000,300,Person,0.18000000715255737,604,111
780,2023-04-09T22:29:12.662000,300,Person,0.23999999463558197,605,113
781,2023-04-09T22:29:12.992000,300,Person,0.23999999463558197,605,113
782,2023-04-09T22:29:13.332000,300,Person,0.1599999964237213,604,112
783,2023-04-09T22:29:13.662000,300,Person,0.1599999964237213,604,112
784,2023-04-09T22:29:13.992000,300,Person,0.20999999344348907,605,112
785,2023-04-09T22:29:14.332000,300,Person,0.20999999344348907,605,112
786,2023-04-09T22:29:14.662000,300,Person,0.20999999344348907,605,112
787,2023-04-09T22:29:15.332000,300,Person,0.1599999964237213,605,112
788,2023-04-09T22:29:15.662000,300,Person,0.1599999964237213,605,112
789,2023-04-09T22:29:15.992000,300,Person,0.1599999964237213,605,112
790,2023-04-09T22:29:16.662000,300,Person,0.20000000298023224,605,112
791,2023-04-09T22:29:16.992000,300,Person,0.20000000298023224,605,112
792,2023-04-09T22:29:17.332000,300,Person,0.20000000298023224,605,112
793,2023-04-09T22:29:20.331000,301,Person,0.17000000178813934,604,111
794,2023-04-09T22:29:20.661000,301,Person,0.17000000178813934,604,111
795,2023-04-09T22:29:20.991000,301,Person,0.17000000178813934,605,112
796,2023-04-09T22:29:21.331000,301,Person,0.17000000178813934,605,112
797,2023-04-09T22:29:21.661000,301,Person,0.17000000178813934,605,112
798,2023-04-09T22:29:21.991000,301,Person,0.1899999976158142,605,112
799,2023-04-09T22:29:22.331000,301,Person,0.17000000178813934,605,112
800,2023-04-09T22:29:22.661000,301,Person,0.1599999964237213,605,112
801,2023-04-09T22:29:22.991000,301,Person,0.23000000417232513,605,112
802,2023-04-09T22:29:23.331000,301,Person,0.23000000417232513,605,112
803,2023-04-09T22:29:23.661000,301,Person,0.23000000417232513,605,112
804,2023-04-09T22:29:24.991000,302,Person,0.18000000715255737,605,111
805,2023-04-09T22:29:25.332000,302,Person,0.18000000715255737,605,112
806,2023-04-09T22:29:25.662000,302,Person,0.20000000298023224,605,112
807,2023-04-09T22:29:25.992000,302,Person,0.1599999964237213,605,112
808,2023-04-09T22:29:26.332000,302,Person,0.23999999463558197,605,112
809,2023-04-09T22:29:26.662000,302,Person,0.23999999463558197,605,112
810,2023-04-09T22:29:26.992000,302,Person,0.18000000715255737,605,112
811,2023-04-09T22:29:27.332000,302,Person,0.1599999964237213,605,112
812,2023-04-09T22:29:27.662000,302,Person,0.25999999046325684,605,111
813,2023-04-09T22:29:27.992000,302,Person,0.25999999046325684,605,111
814,2023-04-09T22:29:28.332000,302,Person,0.25999999046325684,605,111
815,2023-04-09T22:29:29.992000,303,Person,0.1599999964237213,604,112
816,2023-04-09T22:29:30.332000,303,Person,0.1599999964237213,604,112
817,2023-04-09T22:29:30.662000,303,Person,0.1599999964237213,604,112
818,2023-04-09T22:29:34.332000,304,Person,0.1599999964237213,604,111
819,2023-04-09T22:29:34.662000,304,Person,0.1599999964237213,604,111
820,2023-04-09T22:29:34.992000,304,Person,0.1599999964237213,604,111
821,2023-04-09T22:29:36.333000,305,Person,0.1899999976158142,605,111
822,2023-04-09T22:29:36.663000,305,Person,0.1899999976158142,605,111
823,2023-04-09T22:29:36.993000,305,Person,0.1899999976158142,605,111
824,2023-04-09T22:29:38.333000,306,Person,0.15000000596046448,604,111
825,2023-04-09T22:29:38.663000,306,Person,0.18000000715255737,605,111
826,2023-04-09T22:29:38.993000,306,Person,0.18000000715255737,605,111
827,2023-04-09T22:29:39.333000,306,Person,0.20000000298023224,604,111
828,2023-04-09T22:29:39.663000,306,Person,0.1599999964237213,605,111
829,2023-04-09T22:29:39.993000,306,Person,0.20000000298023224,604,111
830,2023-04-09T22:29:40.331000,306,Person,0.20000000298023224,604,111
831,2023-04-09T22:29:40.661000,306,Person,0.17000000178813934,605,111
832,2023-04-09T22:29:40.991000,306,Person,0.2199999988079071,604,111
833,2023-04-09T22:29:41.331000,306,Person,0.2199999988079071,604,111
834,2023-04-09T22:29:41.661000,306,Person,0.2199999988079071,604,111
835,2023-04-09T22:29:46.991000,307,Person,0.20000000298023224,605,111
836,2023-04-09T22:29:47.331000,307,Person,0.20999999344348907,604,111
837,2023-04-09T22:29:47.661000,307,Person,0.20999999344348907,604,111
838,2023-04-09T22:29:47.991000,307,Person,0.20999999344348907,604,111
839,2023-04-09T22:29:48.331000,307,Person,0.18000000715255737,604,111
840,2023-04-09T22:29:48.661000,307,Person,0.2199999988079071,604,111
841,2023-04-09T22:29:48.991000,307,Person,0.2199999988079071,604,111
842,2023-04-09T22:29:49.331000,307,Person,0.2199999988079071,604,111
843,2023-04-09T22:29:49.991000,307,Person,0.15000000596046448,604,110
844,2023-04-09T22:29:50.333000,307,Person,0.15000000596046448,604,110
845,2023-04-09T22:29:50.663000,307,Person,0.15000000596046448,604,110
846,2023-04-09T22:29:51.333000,307,Person,0.20999999344348907,605,112
847,2023-04-09T22:29:51.663000,307,Person,0.20999999344348907,605,112
848,2023-04-09T22:29:51.993000,307,Person,0.20999999344348907,605,112
849,2023-04-09T22:29:52.663000,307,Person,0.23999999463558197,605,111
850,2023-04-09T22:29:52.993000,307,Person,0.23999999463558197,605,111
851,2023-04-09T22:29:53.333000,307,Person,0.17000000178813934,605,111
852,2023-04-09T22:29:53.663000,307,Person,0.20000000298023224,605,112
853,2023-04-09T22:29:53.993000,307,Person,0.20000000298023224,605,112
854,2023-04-09T22:29:54.333000,307,Person,0.20000000298023224,605,112
855,2023-04-09T22:29:54.663000,307,Person,0.20000000298023224,605,112
856,2023-04-09T22:29:54.993000,307,Person,0.20000000298023224,605,112
857,2023-04-09T22:29:56.331000,308,Person,0.18000000715255737,605,112
